Date_id,Year,Quarter,Month,Day,Day_of_Week
16/09/2016,2016,3,9,16,Friday
17/09/2016,2016,3,9,17,Saturday
18/09/2016,2016,3,9,18,Sunday
19/09/2016,2016,3,9,19,Monday
20/09/2016,2016,3,9,20,Tuesday
21/09/2016,2016,3,9,21,Wednesday
22/09/2016,2016,3,9,22,Thursday
23/09/2016,2016,3,9,23,Friday
24/09/2016,2016,3,9,24,Saturday
25/09/2016,2016,3,9,25,Sunday
26/09/2016,2016,3,9,26,Monday
27/09/2016,2016,3,9,27,Tuesday
28/09/2016,2016,3,9,28,Wednesday
29/09/2016,2016,3,9,29,Thursday
30/09/2016,2016,3,9,30,Friday
01/10/2016,2016,4,10,1,Saturday
02/10/2016,2016,4,10,2,Sunday
03/10/2016,2016,4,10,3,Monday
04/10/2016,2016,4,10,4,Tuesday
05/10/2016,2016,4,10,5,Wednesday
06/10/2016,2016,4,10,6,Thursday
07/10/2016,2016,4,10,7,Friday
08/10/2016,2016,4,10,8,Saturday
09/10/2016,2016,4,10,9,Sunday
10/10/2016,2016,4,10,10,Monday
11/10/2016,2016,4,10,11,Tuesday
12/10/2016,2016,4,10,12,Wednesday
13/10/2016,2016,4,10,13,Thursday
14/10/2016,2016,4,10,14,Friday
15/10/2016,2016,4,10,15,Saturday
16/10/2016,2016,4,10,16,Sunday
17/10/2016,2016,4,10,17,Monday
18/10/2016,2016,4,10,18,Tuesday
19/10/2016,2016,4,10,19,Wednesday
20/10/2016,2016,4,10,20,Thursday
21/10/2016,2016,4,10,21,Friday
22/10/2016,2016,4,10,22,Saturday
